,AGE,CHILD_TOTAL,DEPENDANTS,OWN_AUTO,PERSONAL_INCOME,TOTAL_LOANS,CLOSED_LOANS,WORK_YEARS,GENDER,MARITAL_STATUS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,TARGET
26,27,0,0,0,7000.0,1,1.0,1.0,1,Не состоял в браке,1,0,0,0.0
27,41,0,0,0,8000.0,1,1.0,1.0,1,Состою в браке,1,0,0,0.0
28,30,0,0,1,15000.0,3,2.0,4.0,1,Не состоял в браке,1,0,0,0.0
31,61,2,0,1,27000.0,1,0.0,4.0,1,Состою в браке,1,1,0,0.0
32,38,0,1,0,15000.0,3,1.0,11.0,1,Состою в браке,1,0,0,0.0
35,51,0,0,0,6000.0,1,0.0,6.0,1,Гражданский брак,1,0,0,0.0
36,58,2,0,0,10500.0,1,0.0,0.0,0,Состою в браке,0,1,0,0.0
37,35,1,1,0,15000.0,2,2.0,0.0,0,Разведен(а),1,0,1,0.0
39,45,2,1,0,20000.0,4,4.0,10.0,0,Состою в браке,1,0,1,0.0
43,25,0,0,0,9000.0,2,2.0,7.0,1,Состою в браке,1,0,1,0.0
45,62,2,0,0,13000.0,1,0.0,42.0,1,Состою в браке,1,1,1,0.0
46,30,1,1,1,11000.0,1,0.0,5.0,1,Состою в браке,1,0,0,0.0
47,56,3,0,0,20000.0,1,1.0,7.0,1,Состою в браке,1,1,1,0.0
49,36,1,1,0,15000.0,1,0.0,5.0,1,Не состоял в браке,1,0,1,0.0
50,55,2,0,0,13000.0,1,0.0,7.0,1,Состою в браке,1,0,0,0.0
51,29,1,1,0,25000.0,1,0.0,1.0,0,Не состоял в браке,1,0,0,0.0
52,32,2,1,1,21000.0,1,0.0,2.0,0,Состою в браке,1,0,0,0.0
53,36,1,1,1,15000.0,2,2.0,4.0,0,Состою в браке,1,0,0,0.0
55,27,2,2,0,6500.0,1,0.0,4.0,0,Состою в браке,1,0,1,0.0
56,41,3,2,0,10000.0,1,0.0,2.0,0,Состою в браке,1,0,0,0.0
57,54,2,0,0,6500.0,1,0.0,0.0,1,Вдовец/Вдова,0,1,0,0.0
58,52,1,0,0,30000.0,1,1.0,1.0,0,Состою в браке,1,0,1,0.0
59,28,1,1,0,12000.0,1,0.0,9.0,1,Разведен(а),1,0,0,0.0
60,26,1,1,0,8000.0,1,0.0,3.0,1,Состою в браке,1,0,0,0.0
61,27,1,1,0,20000.0,1,0.0,6.0,0,Состою в браке,1,0,1,0.0
62,28,0,0,0,12000.0,1,0.0,1.0,0,Не состоял в браке,1,0,0,1.0
63,25,1,1,0,11000.0,1,0.0,4.0,1,Состою в браке,1,0,1,0.0
64,39,2,2,0,8000.0,2,1.0,0.0,1,Состою в браке,1,0,0,0.0
66,64,0,0,0,23000.0,1,0.0,8.0,1,Вдовец/Вдова,1,0,1,1.0
67,43,1,1,0,20000.0,1,0.0,3.0,0,Состою в браке,1,0,0,0.0
68,44,0,0,0,22000.0,1,0.0,0.0,0,Гражданский брак,1,0,1,0.0
69,34,2,2,0,15000.0,1,0.0,2.0,1,Состою в браке,1,0,0,0.0
70,34,1,1,0,7000.0,2,2.0,3.0,1,Состою в браке,1,0,1,1.0
72,51,1,0,0,7500.0,2,2.0,12.0,1,Не состоял в браке,1,0,0,0.0
74,40,2,2,0,15000.0,1,0.0,4.0,0,Состою в браке,1,0,0,0.0
75,27,1,1,1,12000.0,1,0.0,4.0,0,Состою в браке,1,0,0,1.0
76,29,0,0,0,20000.0,1,1.0,1.0,0,Не состоял в браке,1,0,0,0.0
77,42,2,2,0,11000.0,1,0.0,4.0,1,Состою в браке,1,0,0,0.0
78,50,1,0,0,10000.0,1,0.0,0.0,1,Состою в браке,1,0,0,0.0
79,26,1,1,0,15000.0,1,1.0,3.0,0,Состою в браке,1,0,0,0.0
80,22,0,0,1,10000.0,1,0.0,1.0,0,Не состоял в браке,1,0,0,1.0
81,57,2,1,1,23000.0,1,0.0,34.0,0,Состою в браке,1,1,1,0.0
82,50,0,0,0,15000.0,1,0.0,5.0,1,Вдовец/Вдова,1,0,1,0.0
83,35,1,1,0,12500.0,1,0.0,4.0,0,Состою в браке,1,0,1,0.0
84,55,1,0,0,20000.0,2,2.0,5.0,1,Не состоял в браке,1,1,0,0.0
86,34,0,1,1,12000.0,3,3.0,6.0,0,Состою в браке,1,0,0,0.0
89,28,1,1,0,6000.0,1,0.0,4.0,0,Состою в браке,1,0,1,0.0
90,59,3,0,0,17500.0,1,0.0,16.0,0,Состою в браке,1,0,0,0.0
91,47,1,0,0,18000.0,3,3.0,12.0,1,Не состоял в браке,1,0,1,0.0
94,41,2,2,0,9000.0,2,2.0,0.0,1,Разведен(а),1,0,1,0.0
96,36,0,0,0,7000.0,2,2.0,10.0,1,Разведен(а),1,0,0,1.0
98,55,0,0,0,18000.0,1,0.0,5.0,0,Состою в браке,1,0,0,0.0
99,52,1,0,0,25000.0,1,0.0,11.0,0,Не состоял в браке,1,0,1,0.0
100,46,2,0,0,30000.0,1,0.0,3.0,0,Состою в браке,1,0,0,1.0
101,23,1,1,0,7000.0,1,0.0,1.0,1,Состою в браке,1,0,0,0.0
102,23,0,0,0,9000.0,1,0.0,1.0,1,Состою в браке,1,0,0,0.0
103,40,1,1,0,15000.0,1,0.0,15.0,1,Не состоял в браке,1,0,0,0.0
104,36,3,3,0,11000.0,1,1.0,1.0,1,Разведен(а),1,0,0,0.0
105,23,1,1,0,15000.0,1,0.0,1.0,0,Состою в браке,1,0,0,0.0
106,40,1,0,1,25000.0,1,0.0,6.0,1,Состою в браке,1,0,0,0.0
107,61,0,0,0,8500.0,3,3.0,0.0,0,Вдовец/Вдова,0,1,1,0.0
110,48,0,0,0,9000.0,2,0.0,29.0,0,Состою в браке,1,0,0,0.0
112,52,0,0,0,5000.0,1,0.0,1.0,1,Состою в браке,1,0,0,0.0
113,41,1,1,0,40000.0,1,0.0,0.0,0,Состою в браке,1,0,1,0.0
114,44,2,1,1,30000.0,2,2.0,15.0,1,Не состоял в браке,1,0,1,1.0
116,36,3,3,0,8000.0,1,0.0,13.0,1,Состою в браке,1,0,0,0.0
117,42,3,2,0,12000.0,1,0.0,4.0,0,Состою в браке,1,0,0,0.0
118,22,0,1,0,14000.0,1,0.0,1.0,1,Состою в браке,1,0,0,1.0
119,49,2,0,0,17000.0,1,0.0,6.0,1,Состою в браке,1,0,1,0.0
120,39,2,2,0,5000.0,1,0.0,3.0,1,Состою в браке,1,0,0,0.0
121,41,1,1,0,25000.0,1,0.0,1.0,0,Не состоял в браке,1,0,1,0.0
122,63,2,0,0,6000.0,1,1.0,0.0,1,Разведен(а),0,1,0,0.0
123,33,1,1,0,15000.0,1,0.0,0.0,1,Состою в браке,1,0,1,0.0
124,38,1,1,0,16000.0,1,1.0,2.0,0,Состою в браке,1,0,0,0.0
125,29,1,1,0,10000.0,1,1.0,5.0,1,Состою в браке,1,0,0,0.0
126,49,1,1,0,8000.0,2,1.0,2.0,1,Вдовец/Вдова,1,0,1,0.0
128,50,2,0,0,6000.0,1,0.0,30.0,1,Состою в браке,1,0,1,0.0
129,48,0,0,0,12000.0,1,1.0,0.0,0,Состою в браке,1,0,0,0.0
130,42,2,2,0,11000.0,1,0.0,10.0,1,Состою в браке,1,0,0,0.0
131,39,1,1,0,18000.0,1,0.0,4.0,0,Состою в браке,1,0,0,0.0
132,61,0,0,0,17000.0,2,2.0,6.0,1,Не состоял в браке,1,0,0,0.0
134,42,2,2,0,14000.0,1,0.0,1.0,1,Вдовец/Вдова,1,0,0,0.0
135,23,0,0,0,10000.0,2,2.0,1.0,1,Не состоял в браке,1,0,0,0.0
137,28,0,0,0,15000.0,4,4.0,3.0,1,Не состоял в браке,1,0,0,0.0
141,56,0,0,0,30000.0,1,1.0,16.0,1,Вдовец/Вдова,1,1,0,0.0
142,28,1,1,0,18000.0,1,1.0,6.0,1,Состою в браке,1,0,0,0.0
143,27,1,1,0,25000.0,1,0.0,1.0,0,Состою в браке,1,0,0,0.0
144,46,1,0,0,11000.0,3,2.0,25.0,1,Не состоял в браке,1,0,0,0.0
147,38,1,1,0,15000.0,1,1.0,6.0,1,Состою в браке,1,0,1,0.0
148,35,2,2,0,8700.0,1,0.0,14.0,1,Состою в браке,1,0,1,0.0
149,37,1,1,1,20000.0,1,0.0,19.0,1,Состою в браке,1,0,0,1.0
150,49,2,1,0,15000.0,2,2.0,16.0,0,Состою в браке,1,0,0,0.0
152,37,3,3,1,40000.0,2,2.0,1.0,0,Состою в браке,1,0,0,1.0
154,36,2,2,0,20000.0,1,0.0,3.0,1,Разведен(а),1,0,1,0.0
155,51,2,0,0,12000.0,1,1.0,0.0,0,Не состоял в браке,1,0,0,0.0
156,47,0,0,0,10000.0,1,0.0,6.0,1,Состою в браке,1,0,0,1.0
157,46,0,0,0,20000.0,1,1.0,5.0,1,Состою в браке,1,0,0,0.0
158,28,1,1,0,55000.0,1,0.0,7.0,1,Разведен(а),1,0,1,1.0
159,53,2,0,0,20000.0,1,1.0,1.0,1,Не состоял в браке,1,0,1,0.0
160,26,1,1,0,9000.0,2,2.0,0.0,0,Состою в браке,1,0,1,0.0
162,61,4,0,0,14000.0,2,2.0,16.0,0,Состою в браке,1,0,0,1.0
164,48,2,0,0,7000.0,1,0.0,0.0,1,Состою в браке,1,0,0,0.0
165,30,1,1,0,16000.0,1,0.0,8.0,1,Не состоял в браке,1,0,0,0.0
166,22,1,0,1,20000.0,1,0.0,0.0,0,Состою в браке,1,0,0,1.0
167,53,2,0,0,8000.0,1,1.0,30.0,1,Состою в браке,1,0,1,0.0
168,56,1,0,0,11500.0,1,1.0,23.0,1,Состою в браке,1,0,0,0.0
169,54,2,0,1,8000.0,1,0.0,4.0,0,Гражданский брак,1,0,0,0.0
170,40,1,1,0,35000.0,1,0.0,1.0,0,Состою в браке,1,0,0,0.0
171,56,1,0,0,9000.0,1,0.0,0.0,0,Состою в браке,0,1,0,0.0
172,46,0,0,0,9000.0,1,1.0,5.0,1,Состою в браке,1,0,1,0.0
173,52,0,0,0,15000.0,1,0.0,25.0,1,Состою в браке,1,0,0,0.0
174,32,2,2,0,12000.0,1,0.0,1.0,0,Состою в браке,1,0,0,1.0
175,59,1,0,0,7000.0,1,1.0,0.0,0,Состою в браке,0,1,1,0.0
176,35,1,1,0,17000.0,2,2.0,9.0,0,Состою в браке,1,0,1,0.0
178,26,0,0,0,8000.0,1,0.0,0.0,0,Не состоял в браке,1,0,0,0.0
179,39,1,1,0,11000.0,3,2.0,5.0,0,Гражданский брак,1,0,0,0.0
182,40,3,2,0,20000.0,2,1.0,18.0,1,Состою в браке,1,0,1,0.0
184,57,3,0,1,7000.0,1,1.0,32.0,0,Состою в браке,1,0,0,0.0
185,60,1,1,0,20000.0,2,2.0,25.0,1,Состою в браке,1,0,1,0.0
187,45,0,0,0,8600.0,3,2.0,24.0,1,Состою в браке,1,0,0,0.0
190,40,2,2,0,45000.0,1,0.0,1.0,0,Состою в браке,1,0,0,0.0
191,38,1,0,0,8000.0,1,1.0,5.0,0,Состою в браке,1,0,0,0.0
192,22,0,0,1,15000.0,1,0.0,2.0,0,Не состоял в браке,1,0,0,0.0
193,49,3,0,0,12000.0,2,1.0,25.0,0,Состою в браке,1,0,1,0.0
195,53,1,0,0,8500.0,3,2.0,0.0,1,Гражданский брак,0,1,1,1.0
198,40,1,0,0,15000.0,1,0.0,15.0,1,Состою в браке,1,0,0,0.0
199,57,3,0,1,17000.0,3,3.0,6.0,0,Состою в браке,1,0,1,0.0
202,34,0,0,0,21000.0,1,1.0,9.0,0,Не состоял в браке,1,0,0,0.0
203,56,1,0,0,6000.0,1,0.0,0.0,1,Разведен(а),1,1,1,1.0
204,32,2,2,0,15000.0,1,0.0,5.0,1,Состою в браке,1,0,0,0.0
205,23,0,0,0,7000.0,1,0.0,1.0,1,Не состоял в браке,1,0,0,0.0
206,54,0,0,0,11000.0,1,0.0,0.0,1,Не состоял в браке,0,1,1,0.0
207,33,1,1,0,6000.0,1,0.0,9.0,1,Состою в браке,1,0,0,0.0
208,33,1,2,0,14000.0,4,4.0,4.0,0,Состою в браке,1,0,0,0.0
212,23,0,0,0,12000.0,1,1.0,1.0,0,Не состоял в браке,1,0,0,0.0
213,34,1,1,1,20000.0,1,1.0,13.0,0,Состою в браке,1,0,1,0.0
214,64,2,0,0,6000.0,1,0.0,0.0,1,Не состоял в браке,0,1,0,0.0
215,37,2,2,0,20000.0,3,2.0,2.0,1,Состою в браке,1,0,0,0.0
218,44,3,0,0,12000.0,1,0.0,8.0,1,Состою в браке,1,0,0,0.0
219,26,1,1,0,16000.0,2,2.0,3.0,0,Состою в браке,1,0,0,0.0
221,43,2,2,0,10000.0,2,2.0,1.0,1,Разведен(а),1,0,0,0.0
223,49,1,0,0,15000.0,1,0.0,4.0,1,Состою в браке,1,0,1,0.0
224,44,1,0,0,10000.0,2,0.0,11.0,1,Разведен(а),1,0,0,0.0
226,60,0,0,0,15000.0,1,0.0,1.0,1,Состою в браке,1,0,0,0.0
227,34,1,1,0,10000.0,1,0.0,0.0,1,Состою в браке,1,0,0,0.0
228,53,0,0,0,10000.0,1,0.0,9.0,1,Вдовец/Вдова,1,0,0,0.0
229,56,3,0,0,14000.0,3,3.0,7.0,1,Разведен(а),1,0,1,0.0
232,49,2,1,0,7000.0,1,0.0,31.0,1,Состою в браке,1,0,0,0.0
233,49,0,0,0,30000.0,1,1.0,5.0,1,Разведен(а),1,0,0,1.0
234,34,2,1,0,11000.0,1,0.0,0.0,1,Вдовец/Вдова,0,1,0,0.0
235,41,4,2,1,9340.0,3,3.0,0.0,1,Состою в браке,1,0,0,1.0
238,26,0,0,0,13000.0,1,0.0,2.0,1,Состою в браке,1,0,0,0.0
239,40,1,0,0,13000.0,1,0.0,8.0,1,Состою в браке,1,0,1,0.0
240,42,2,1,0,7500.0,1,0.0,22.0,1,Состою в браке,1,0,0,0.0
241,37,1,1,0,7000.0,1,0.0,0.0,1,Разведен(а),1,0,0,0.0
242,38,1,1,0,7800.0,1,0.0,2.0,1,Состою в браке,1,0,0,0.0
243,45,1,1,0,7000.0,1,0.0,21.0,1,Состою в браке,1,0,1,0.0
244,49,2,0,0,8200.0,2,1.0,1.0,1,Состою в браке,1,0,0,0.0
246,39,1,1,0,6700.0,1,1.0,1.0,1,Состою в браке,1,0,0,0.0
247,36,1,1,1,80000.0,2,1.0,8.0,1,Разведен(а),1,0,0,0.0
249,42,2,0,1,15000.0,1,0.0,20.0,0,Состою в браке,1,0,0,1.0
250,29,1,1,0,10000.0,1,0.0,0.0,0,Состою в браке,1,0,0,0.0
251,45,2,0,0,20000.0,1,0.0,0.0,1,Состою в браке,1,0,1,0.0
252,51,2,0,0,14000.0,1,1.0,20.0,1,Состою в браке,1,0,1,0.0
253,56,0,0,0,13000.0,1,1.0,10.0,1,Состою в браке,1,0,0,0.0
254,33,1,1,0,16000.0,1,0.0,7.0,0,Состою в браке,1,0,1,0.0
255,24,0,0,0,15000.0,1,0.0,0.0,1,Состою в браке,1,0,1,0.0
256,46,2,2,0,22000.0,1,0.0,10.0,0,Состою в браке,1,0,1,1.0
257,39,1,1,0,30000.0,1,0.0,2.0,0,Состою в браке,1,0,0,0.0
258,49,2,1,0,25000.0,1,0.0,2.0,0,Состою в браке,1,0,0,0.0
259,49,0,0,0,7000.0,1,0.0,6.0,1,Не состоял в браке,1,0,1,0.0
260,49,2,0,0,20000.0,1,0.0,2.0,0,Состою в браке,1,1,1,0.0
261,26,1,1,0,16000.0,1,0.0,5.0,0,Состою в браке,1,0,0,0.0
262,61,0,0,0,8000.0,1,0.0,0.0,0,Состою в браке,0,1,0,0.0
263,42,1,1,0,22000.0,1,0.0,20.0,0,Состою в браке,1,0,0,0.0
264,39,1,0,0,15000.0,3,2.0,15.0,1,Состою в браке,1,0,0,0.0
267,52,1,0,0,20000.0,1,0.0,2.0,1,Состою в браке,1,0,0,0.0
268,38,1,1,0,11000.0,2,2.0,18.0,1,Не состоял в браке,1,0,0,0.0
270,49,1,1,0,9000.0,1,1.0,5.0,1,Состою в браке,1,0,1,0.0
271,51,2,2,0,12800.0,1,0.0,0.0,1,Состою в браке,0,1,0,0.0
272,60,2,0,0,7000.0,1,0.0,3.0,1,Состою в браке,1,0,1,1.0
273,42,1,1,0,10500.0,2,2.0,20.0,1,Состою в браке,1,0,1,0.0
275,57,3,0,0,7000.0,1,0.0,0.0,1,Вдовец/Вдова,0,1,0,0.0
276,41,2,1,0,20000.0,1,0.0,2.0,1,Состою в браке,1,0,1,0.0
277,47,2,1,0,8000.0,3,1.0,20.0,1,Не состоял в браке,1,0,1,0.0
280,34,1,1,0,12000.0,1,1.0,0.0,1,Состою в браке,1,0,0,1.0
281,32,2,2,0,5500.0,1,0.0,3.0,1,Состою в браке,1,0,0,0.0
282,38,2,0,1,30000.0,1,0.0,0.0,1,Не состоял в браке,1,0,1,1.0
283,26,1,1,0,8000.0,1,1.0,5.0,1,Разведен(а),1,0,0,0.0
284,39,1,1,0,18000.0,4,4.0,6.0,0,Не состоял в браке,1,0,0,0.0
288,35,1,1,0,25000.0,1,0.0,17.0,0,Состою в браке,1,0,0,0.0
289,37,1,0,0,24000.0,1,1.0,12.0,0,Состою в браке,1,0,0,0.0
290,22,0,0,0,10500.0,1,1.0,0.0,1,Не состоял в браке,1,0,0,0.0
291,61,2,0,1,7000.0,2,1.0,0.0,0,Состою в браке,0,1,1,0.0
293,36,3,3,0,16000.0,1,1.0,5.0,0,Состою в браке,1,0,1,0.0
294,27,1,1,0,9000.0,2,1.0,0.0,1,Не состоял в браке,1,0,1,0.0
296,43,1,0,1,15000.0,1,0.0,1.0,0,Состою в браке,1,0,0,0.0
297,60,4,2,1,6000.0,3,3.0,3.0,1,Состою в браке,1,0,1,0.0
300,38,2,2,1,9000.0,1,0.0,8.0,1,Состою в браке,1,0,0,0.0
301,42,2,0,0,15000.0,1,0.0,23.0,1,Состою в браке,1,0,1,0.0
302,23,0,0,0,30000.0,1,0.0,1.0,0,Не состоял в браке,1,0,1,1.0
303,31,1,1,0,15000.0,3,3.0,9.0,0,Состою в браке,1,0,1,0.0
306,63,0,0,0,6000.0,3,3.0,0.0,1,Не состоял в браке,0,1,1,0.0
309,27,1,1,0,15000.0,1,0.0,6.0,1,Состою в браке,1,0,1,1.0
310,39,1,1,0,18000.0,3,3.0,8.0,1,Состою в браке,1,0,1,0.0
313,43,2,2,0,13000.0,1,0.0,10.0,1,Вдовец/Вдова,1,0,1,0.0
314,60,2,0,0,5200.0,2,2.0,0.0,1,Состою в браке,0,1,0,0.0
316,33,0,0,0,20000.0,1,0.0,10.0,1,Не состоял в браке,1,0,1,0.0
317,49,1,0,0,6000.0,1,1.0,30.0,1,Состою в браке,1,0,0,0.0
318,26,1,1,0,13000.0,1,0.0,3.0,0,Состою в браке,1,0,0,0.0
319,38,1,1,0,12000.0,1,0.0,1.0,0,Состою в браке,1,0,0,1.0
320,27,1,1,0,9000.0,1,0.0,0.0,1,Состою в браке,1,0,0,1.0
321,36,1,1,0,15000.0,2,2.0,11.0,1,Разведен(а),1,0,0,0.0
323,42,2,1,0,12000.0,1,0.0,23.0,1,Состою в браке,1,0,0,0.0
324,46,0,0,1,12650.0,2,1.0,4.0,1,Состою в браке,1,0,0,0.0
326,27,1,1,0,9000.0,1,1.0,2.0,0,Не состоял в браке,1,0,0,0.0
327,43,0,0,0,40000.0,1,1.0,4.0,1,Разведен(а),1,0,1,0.0
328,30,1,1,0,30000.0,1,0.0,4.0,0,Состою в браке,1,0,0,1.0
329,24,0,0,0,10000.0,1,1.0,3.0,1,Не состоял в браке,1,0,0,0.0
330,41,4,4,0,11500.0,1,0.0,5.0,0,Гражданский брак,1,0,0,0.0
331,36,0,0,0,6000.0,1,1.0,3.0,1,Не состоял в браке,1,0,0,0.0
332,42,1,1,0,15000.0,1,0.0,10.0,0,Состою в браке,1,0,1,1.0
333,56,3,0,0,30000.0,1,0.0,15.0,1,Состою в браке,1,1,0,1.0
334,30,2,2,0,16000.0,1,0.0,7.0,0,Состою в браке,1,0,1,0.0
335,47,1,0,0,7100.0,3,3.0,8.0,1,Состою в браке,1,0,1,0.0
338,53,1,0,0,6000.0,1,0.0,6.0,1,Состою в браке,1,0,0,0.0
339,23,1,1,0,8000.0,1,0.0,0.0,1,Состою в браке,1,0,0,0.0
340,43,0,0,0,12000.0,1,0.0,16.0,0,Не состоял в браке,1,0,0,0.0
341,37,1,1,0,29000.0,2,2.0,7.0,1,Состою в браке,1,0,1,0.0
343,55,2,0,0,7000.0,1,0.0,20.0,1,Состою в браке,1,0,0,0.0
344,26,2,2,0,13000.0,1,0.0,0.0,1,Гражданский брак,1,0,1,0.0
345,58,0,0,0,6500.0,2,2.0,0.0,1,Не состоял в браке,0,1,1,0.0
347,29,1,1,0,9000.0,1,0.0,1.0,1,Состою в браке,1,0,0,0.0
348,26,0,0,0,21000.0,1,0.0,0.0,1,Состою в браке,1,0,0,1.0
349,34,4,4,0,5000.0,1,1.0,0.0,1,Состою в браке,1,0,0,0.0
350,24,0,0,0,15000.0,1,0.0,2.0,0,Не состоял в браке,1,0,0,1.0
351,43,2,0,0,10000.0,1,0.0,22.0,1,Состою в браке,1,0,0,0.0
352,37,1,1,0,7800.0,2,2.0,15.0,1,Состою в браке,1,0,0,0.0
354,23,0,0,0,14000.0,1,1.0,0.0,1,Не состоял в браке,1,0,0,0.0
355,45,1,1,1,30000.0,1,0.0,2.0,0,Состою в браке,1,0,1,0.0
356,49,2,0,0,12000.0,2,2.0,22.0,1,Состою в браке,1,0,0,0.0
358,37,1,1,0,7000.0,1,0.0,2.0,1,Состою в браке,1,0,0,0.0
359,48,0,0,0,15000.0,1,0.0,2.0,1,Разведен(а),1,0,1,0.0
360,42,3,2,1,30000.0,2,0.0,5.0,0,Состою в браке,1,0,1,0.0
362,40,0,2,0,11000.0,1,0.0,1.0,1,Не состоял в браке,1,0,1,1.0
363,56,0,0,0,9330.0,1,0.0,10.0,1,Вдовец/Вдова,1,1,1,0.0
364,36,1,1,0,16000.0,1,1.0,10.0,1,Разведен(а),1,0,0,0.0
365,53,2,0,0,12000.0,1,1.0,24.0,1,Состою в браке,1,0,0,0.0
366,33,1,1,0,18000.0,1,0.0,1.0,0,Состою в браке,1,0,1,0.0
367,54,2,0,1,21000.0,3,3.0,35.0,1,Состою в браке,1,1,0,0.0
370,50,2,0,0,12000.0,1,0.0,3.0,1,Разведен(а),1,0,1,0.0
371,25,1,1,0,10000.0,1,1.0,1.0,1,Не состоял в браке,1,0,0,0.0
372,26,1,1,0,7000.0,1,1.0,1.0,1,Разведен(а),1,0,0,0.0
373,42,2,0,0,7850.0,1,0.0,9.0,1,Состою в браке,1,0,0,0.0
374,42,1,1,0,20000.0,2,1.0,24.0,0,Состою в браке,1,0,0,0.0
376,54,4,1,0,6700.0,1,0.0,25.0,1,Состою в браке,1,1,1,0.0
377,26,0,0,0,10000.0,2,1.0,1.0,0,Не состоял в браке,1,0,1,0.0
379,54,2,0,0,10000.0,3,3.0,27.0,1,Вдовец/Вдова,1,0,0,0.0
382,26,0,0,0,15000.0,1,0.0,5.0,0,Не состоял в браке,1,0,1,1.0
383,33,1,1,1,30000.0,7,6.0,3.0,0,Состою в браке,1,0,0,0.0
390,31,1,1,0,12000.0,1,1.0,3.0,0,Состою в браке,1,0,1,0.0
391,25,0,0,0,8000.0,2,2.0,0.0,1,Состою в браке,1,0,0,0.0
393,62,3,0,0,17000.0,1,0.0,6.0,1,Вдовец/Вдова,1,1,0,0.0
394,29,1,1,0,18000.0,1,1.0,0.0,1,Не состоял в браке,1,0,0,0.0
395,46,3,1,0,13000.0,1,0.0,10.0,1,Состою в браке,1,0,0,0.0
396,33,1,1,0,25000.0,1,1.0,13.0,0,Состою в браке,1,0,1,0.0
397,54,0,0,0,15000.0,2,2.0,13.0,1,Состою в браке,1,0,1,0.0
399,54,0,0,0,15000.0,1,0.0,0.0,0,Состою в браке,0,1,1,0.0
400,56,0,0,0,18000.0,1,0.0,4.0,0,Состою в браке,1,1,0,0.0
401,42,1,1,0,12000.0,1,1.0,17.0,0,Состою в браке,1,0,1,0.0
402,39,1,1,0,35000.0,1,1.0,6.0,1,Состою в браке,1,0,0,0.0
403,42,2,1,0,9000.0,1,0.0,3.0,1,Состою в браке,1,0,0,0.0
404,27,1,1,0,17000.0,2,2.0,0.0,1,Состою в браке,1,0,0,1.0
406,39,2,2,0,35000.0,1,1.0,2.0,1,Состою в браке,1,0,0,0.0
407,46,2,1,1,20000.0,1,0.0,3.0,0,Состою в браке,1,0,0,0.0
408,59,2,0,0,5000.0,1,0.0,0.0,1,Вдовец/Вдова,0,1,1,0.0
409,24,0,0,1,20000.0,2,2.0,5.0,0,Не состоял в браке,1,0,0,0.0
411,56,1,0,0,10000.0,1,0.0,5.0,1,Не состоял в браке,1,1,1,0.0
412,59,0,0,0,6500.0,1,0.0,0.0,1,Состою в браке,0,1,1,0.0
413,47,2,1,0,8000.0,3,2.0,5.0,1,Разведен(а),1,0,0,0.0
416,37,1,1,1,35000.0,1,0.0,2.0,1,Гражданский брак,1,0,1,0.0
417,23,2,2,0,6500.0,1,0.0,0.0,1,Состою в браке,1,0,1,0.0
418,58,2,0,0,6000.0,1,0.0,0.0,1,Не состоял в браке,0,1,0,0.0
419,32,0,0,0,5000.0,2,1.0,10.0,1,Состою в браке,1,0,0,0.0
421,35,2,2,0,10000.0,2,1.0,5.0,1,Состою в браке,1,0,1,0.0
